MainBranch,Age,Employment,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,LanguageHaveWorkedWith,AISearchHaveWorkedWith,AIDevHaveWorkedWith,WorkExp,Industry,ConvertedCompYearly
,35-44 years old,,Remote,,18,10,"Developer, QA or test",100 to 499 employees,Finland,Elixir;Haskell;Java;JavaScript;Python;Ruby;Rust;SQL,ChatGPT,GitHub Copilot,10.0,Financial Services,79246.0
,35-44 years old,,Remote,,20,16,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,Ireland,C++;HTML/CSS;JavaScript;PHP;Rust;SQL,ChatGPT,GitHub Copilot,20.0,Advertising Services,107090.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,7,2,Data scientist or machine learning specialist,500 to 999 employees,France,C;C#;C++;HTML/CSS;JavaScript;Python,ChatGPT,Mintlify,2.0,"Information Services, IT, Software Development, or other Technology",59970.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,6,"Developer, back-end","1,000 to 4,999 employees",Australia,Assembly;Bash/Shell (all shells);C++;Go;Java;Python;Rust,ChatGPT,GitHub Copilot;Tabnine,6.0,Financial Services,92545.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,25,20,Data scientist or machine learning specialist,500 to 999 employees,Poland,Bash/Shell (all shells);Python,ChatGPT,GitHub Copilot,20.0,Healthcare,102883.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,17,8,Cloud infrastructure engineer,20 to 99 employees,Germany,Bash/Shell (all shells);Go;Groovy;HTML/CSS;JavaScript;Python;Rust;Scala;TypeScript,ChatGPT,GitHub Copilot,8.0,Higher Education,95096.0
,18-24 years old,,Remote,,7,3,Educator,100 to 499 employees,Brazil,Bash/Shell (all shells);C;C++;Dart;Go;Groovy;Python;Rust,WolframAlpha,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",16230.0
,25-34 years old,,Remote,,15,10,"Developer, front-end",100 to 499 employees,Mexico,HTML/CSS;JavaScript;Ruby;Rust;TypeScript,ChatGPT,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",91599.0
,25-34 years old,,Remote,,11,6,"Developer, full-stack",10 to 19 employees,Argentina,TypeScript,ChatGPT,GitHub Copilot,6.0,Financial Services,160000.0
,25-34 years old,,Remote,,6,6,"Developer, full-stack",20 to 99 employees,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;Solidity;SQL;TypeScript,ChatGPT;You.com,GitHub Copilot;Tabnine,6.0,"Information Services, IT, Software Development, or other Technology",145000.0
,25-34 years old,,Remote,,11,7,"Developer, full-stack",2 to 9 employees,Brazil,Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT;Phind,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",6573.0
,35-44 years old,,Remote,,20,17,Developer Experience,100 to 499 employees,Uruguay,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,17.0,Financial Services,60000.0
,45-54 years old,,Remote,,31,30,"Developer, front-end",20 to 99 employees,Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,30.0,"Information Services, IT, Software Development, or other Technology",100000.0
,25-34 years old,,Remote,,15,10,"Developer, full-stack",100 to 499 employees,Brazil,HTML/CSS;JavaScript;PHP;Solidity;SQL;TypeScript,ChatGPT,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",96000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,15,15,"Developer, full-stack","1,000 to 4,999 employees",Israel,C#;HTML/CSS;Python,ChatGPT,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",160367.0
,25-34 years old,,Remote,,12,8,"Developer, back-end",10 to 19 employees,Germany,Bash/Shell (all shells);Go;HTML/CSS;Python;SQL,ChatGPT,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",94239.0
,35-44 years old,,Remote,,27,15,"Developer, full-stack","1,000 to 4,999 employees",Argentina,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",75000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,11,11,Engineering manager,20 to 99 employees,Ireland,Bash/Shell (all shells);Go;Groovy;Java;JavaScript,ChatGPT,GitHub Copilot;Synk Code,12.0,"Information Services, IT, Software Development, or other Technology",143500.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,16,13,Research & Development role,500 to 999 employees,Germany,Bash/Shell (all shells);Delphi;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,ChatGPT;WolframAlpha,Tabnine,14.0,"Manufacturing, Transportation, or Supply Chain",87813.0
,35-44 years old,,Remote,,25,15,"Developer, full-stack",10 to 19 employees,Austria,C#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",96381.0
,35-44 years old,,Remote,,15,14,"Developer, full-stack",20 to 99 employees,Brazil,HTML/CSS;JavaScript;Ruby;SQL,ChatGPT,GitHub Copilot,15.0,Retail and Consumer Services,71007.0
,18-24 years old,,In-person,,6,2,"Developer, front-end",2 to 9 employees,Brazil,C;Dart,ChatGPT,GitHub Copilot,2.0,"Information Services, IT, Software Development, or other Technology",5222.0
,25-34 years old,,Remote,,10,7,"Developer, front-end",100 to 499 employees,France,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot;Whispr AI,7.0,Retail and Consumer Services,53545.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,9,"Developer, full-stack",20 to 99 employees,Brazil,HTML/CSS;JavaScript;TypeScript,ChatGPT,GitHub Copilot,9.0,Legal Services,48690.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,20,20,"Developer, front-end",100 to 499 employees,Germany,HTML/CSS;JavaScript;PHP,ChatGPT,GitHub Copilot;Tabnine,20.0,Higher Education,68537.0
,25-34 years old,,Remote,,11,8,"Developer, full-stack",20 to 99 employees,United States of America,Python;Ruby;TypeScript,ChatGPT,GitHub Copilot,8.0,Advertising Services,68000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,30,10,"Developer, full-stack",20 to 99 employees,Germany,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",63932.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,6,"Developer, full-stack",10 to 19 employees,Austria,Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",53545.0
,25-34 years old,,Remote,,5,4,Engineering manager,100 to 499 employees,United States of America,Bash/Shell (all shells);C#;JavaScript;PowerShell;Scala;SQL,ChatGPT,GitHub Copilot,0.0,Healthcare,115000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,21,15,"Developer, full-stack",100 to 499 employees,Canada,HTML/CSS;Java;JavaScript;SQL,ChatGPT,Tabnine,15.0,"Manufacturing, Transportation, or Supply Chain",63199.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,6,3,"Developer, full-stack","10,000 or more employees",Germany,C++;HTML/CSS;JavaScript;TypeScript,ChatGPT,Tabnine,3.0,"Information Services, IT, Software Development, or other Technology",74963.0
,25-34 years old,,Remote,,13,8,"Developer, full-stack",2 to 9 employees,Brazil,Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),ChatGPT,AWS CodeWhisperer;GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",26374.0
,35-44 years old,,Remote,,20,15,Engineering manager,100 to 499 employees,United States of America,Bash/Shell (all shells);JavaScript;Python;TypeScript,Bing AI;ChatGPT,GitHub Copilot,15.0,Retail and Consumer Services,240000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,5,"Developer, full-stack",2 to 9 employees,Belgium,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,Bing AI;ChatGPT,GitHub Copilot,3.0,Healthcare,32127.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,11,7,"Developer, full-stack",2 to 9 employees,Switzerland,C#;Java;Python;Rust,ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",132260.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,35,22,"Developer, full-stack",20 to 99 employees,Sweden,C;C#;F#;HTML/CSS;JavaScript;Rust;TypeScript,ChatGPT;Quora Poe,GitHub Copilot,25.0,Insurance,57496.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,5,Academic researcher,10 to 19 employees,Germany,Assembly;Bash/Shell (all shells);C++;Java;Python;R;Rust,Bing AI;ChatGPT;WolframAlpha,GitHub Copilot;Tabnine,5.0,Higher Education,63385.0
,25-34 years old,,Remote,,8,5,"Developer, full-stack",20 to 99 employees,Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,5.0,"Information Services, IT, Software Development, or other Technology",32866.0
,18-24 years old,,Remote,,4,3,"Developer, back-end",20 to 99 employees,Colombia,Go;HTML/CSS;Java;JavaScript;TypeScript,ChatGPT,GitHub Copilot,3.0,Retail and Consumer Services,19341.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,15,9,Academic researcher,10 to 19 employees,Germany,Java;Kotlin;SQL;TypeScript,Bing AI,GitHub Copilot,9.0,Higher Education,62355.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,15,11,"Engineer, site reliability",100 to 499 employees,"Iran, Islamic Republic of...",Go;HTML/CSS;JavaScript;MATLAB;Python;Ruby;Rust;SQL,ChatGPT,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",90710.0
,25-34 years old,,Remote,,15,7,"Developer, full-stack",20 to 99 employees,Turkey,Clojure;JavaScript;Python,ChatGPT,GitHub Copilot,7.0,Healthcare,85000.0
,25-34 years old,,Remote,,14,12,"Developer, mobile",100 to 499 employees,Germany,Kotlin,Bing AI;ChatGPT,Tabnine,12.0,"Information Services, IT, Software Development, or other Technology",85672.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,4,2,"Developer, back-end",2 to 9 employees,Brazil,Java;JavaScript;Python,ChatGPT,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",7872.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,24,14,Data scientist or machine learning specialist,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);JavaScript;Python,ChatGPT;WolframAlpha,GitHub Copilot;Rubber Duck.AI,16.0,Insurance,144599.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,13,11,"Developer, desktop or enterprise applications",20 to 99 employees,Sweden,Bash/Shell (all shells);C#;Erlang;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,ChatGPT;WolframAlpha,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",49756.0
,25-34 years old,,In-person,,2,1,"Developer, full-stack",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Flow;HTML/CSS;JavaScript;Ruby;SQL,ChatGPT,GitHub Copilot,1.0,"Information Services, IT, Software Development, or other Technology",51517.0
,35-44 years old,,Remote,,17,14,"Developer, full-stack",2 to 9 employees,Belgium,Bash/Shell (all shells);HTML/CSS;JavaScript;Solidity;TypeScript,Bing AI;ChatGPT,GitHub Copilot,15.0,Financial Services,321269.0
,25-34 years old,,Remote,,8,7,"Developer, mobile","1,000 to 4,999 employees",Poland,Kotlin,Bing AI;ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",105275.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,7,6,"Developer, full-stack","10,000 or more employees",United States of America,C#;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),Bing AI;ChatGPT,GitHub Copilot,7.0,"Manufacturing, Transportation, or Supply Chain",104000.0
,18-24 years old,,In-person,,7,6,"Developer, full-stack",10 to 19 employees,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;TypeScript,ChatGPT,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",93000.0
,45-54 years old,,Remote,,39,30,DevOps specialist,10 to 19 employees,Brazil,Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Delphi;Elixir;Erlang;F#;Fortran;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;Objective-C;Perl;PHP;PowerShell;Prolog;Python;Ruby;Scala;SQL;VBA;Visual Basic (.Net),ChatGPT,AWS CodeWhisperer;GitHub Copilot,38.0,"Information Services, IT, Software Development, or other Technology",20288.0
,35-44 years old,,Remote,,23,20,"Developer, full-stack",20 to 99 employees,Argentina,Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;PHP;TypeScript,ChatGPT,GitHub Copilot,20.0,"Information Services, IT, Software Development, or other Technology",64254.0
,35-44 years old,,In-person,,23,16,"Developer, full-stack",2 to 9 employees,Switzerland,Java;JavaScript;Kotlin;TypeScript,ChatGPT,GitHub Copilot,16.0,Financial Services,132260.0
,18-24 years old,,Remote,,8,4,"Developer, front-end",20 to 99 employees,Brazil,HTML/CSS;JavaScript;Ruby;TypeScript,ChatGPT,GitHub Copilot,4.0,"Information Services, IT, Software Development, or other Technology",40575.0
,25-34 years old,,In-person,,7,5,"Developer, desktop or enterprise applications","5,000 to 9,999 employees",China,C++;Python,Bing AI;ChatGPT;Quora Poe,GitHub Copilot,5.0,"Information Services, IT, Software Development, or other Technology",98482.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,25,23,"Developer, back-end",10 to 19 employees,Sweden,C#;HTML/CSS;TypeScript,Bing AI;ChatGPT,GitHub Copilot,23.0,Advertising Services,128998.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,30,20,Educator,"1,000 to 4,999 employees",Brazil,JavaScript;Python;Rust;Solidity;Swift,ChatGPT,GitHub Copilot,33.0,Higher Education,20288.0
,25-34 years old,,In-person,,15,7,"Developer, back-end",20 to 99 employees,Brazil,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;PowerShell;SQL,ChatGPT,GitHub Copilot,8.0,Financial Services,24345.0
,18-24 years old,,Remote,,6,2,"Developer, front-end",100 to 499 employees,Brazil,Dart;HTML/CSS;JavaScript;TypeScript,ChatGPT,GitHub Copilot,2.0,"Information Services, IT, Software Development, or other Technology",9738.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,6,2,"Developer, full-stack","1,000 to 4,999 employees",India,C;C++;Go;Java;JavaScript;SQL;TypeScript,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,2.0,"Information Services, IT, Software Development, or other Technology",21810.0
,25-34 years old,,Remote,,11,5,"Developer, back-end",100 to 499 employees,Brazil,TypeScript,ChatGPT,GitHub Copilot,5.0,Financial Services,29214.0
,45-54 years old,,Remote,,40,22,"Developer, desktop or enterprise applications",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ChatGPT,GitHub Copilot;Synk Code,22.0,"Information Services, IT, Software Development, or other Technology",102662.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,16,10,"Developer, desktop or enterprise applications",20 to 99 employees,Czech Republic,C#,ChatGPT,GitHub Copilot,10.0,Healthcare,47768.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,20,15,"Developer, full-stack",20 to 99 employees,Germany,HTML/CSS;JavaScript;Perl;PHP;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",69608.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,16,12,Project manager,"1,000 to 4,999 employees",Germany,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL,Bing AI;ChatGPT,GitHub Copilot,12.0,Higher Education,64254.0
,35-44 years old,,Remote,,18,14,"Developer, back-end",100 to 499 employees,Ecuador,C#;HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot;Tabnine,18.0,Insurance,3400.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,7,"Developer, back-end","5,000 to 9,999 employees",Saudi Arabia,HTML/CSS;Java;JavaScript;Python;SQL,Bing AI,GitHub Copilot,9.0,"Information Services, IT, Software Development, or other Technology",126306.0
,35-44 years old,,Remote,,24,22,"Developer, embedded applications or devices","10,000 or more employees",Germany,C;Rust,ChatGPT,GitHub Copilot,23.0,"Manufacturing, Transportation, or Supply Chain",139216.0
,18-24 years old,,In-person,,4,2,"Developer, front-end",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;PHP;SQL,ChatGPT,GitHub Copilot,2.0,Retail and Consumer Services,31035.0
,25-34 years old,,Remote,,17,12,"Developer, front-end",I don’t know,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT,AWS CodeWhisperer;GitHub Copilot,12.0,Advertising Services,74856.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,5,4,"Developer, back-end",20 to 99 employees,Uganda,C#;Java;Python;SQL,ChatGPT,GitHub Copilot,5.0,"Information Services, IT, Software Development, or other Technology",21452.0
,25-34 years old,,Remote,,10,9,"Developer, full-stack",20 to 99 employees,Canada,C#;HTML/CSS;JavaScript;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,9.0,Advertising Services,66916.0
,18-24 years old,,Remote,,5,3,"Developer, back-end",100 to 499 employees,Brazil,Go;HTML/CSS;Python;Ruby;SQL,ChatGPT,GitHub Copilot,5.0,Retail and Consumer Services,21911.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,17,9,"Developer, front-end",2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,9.0,"Information Services, IT, Software Development, or other Technology",50897.0
,35-44 years old,,In-person,,29,22,Engineering manager,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Rust;SQL;TypeScript,Bing AI;ChatGPT,Tabnine,22.0,Financial Services,192414.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,4,Data scientist or machine learning specialist,20 to 99 employees,Croatia,Assembly;Bash/Shell (all shells);C;C++;Java;Python;Rust,ChatGPT;WolframAlpha,GitHub Copilot,4.0,"Information Services, IT, Software Development, or other Technology",31056.0
,35-44 years old,,Remote,,22,19,"Developer, full-stack","1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,20.0,Legal Services,108000.0
,25-34 years old,,In-person,,12,3,"Developer, full-stack",20 to 99 employees,Norway,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Scala;SQL;TypeScript,ChatGPT;Phind;WolframAlpha,AWS CodeWhisperer;GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",57992.0
,25-34 years old,,Remote,,12,10,"Developer, back-end",20 to 99 employees,United States of America,Elixir;Erlang;Haskell;JavaScript;Lisp;Prolog;Rust;SQL,ChatGPT,GitHub Copilot,10.0,Healthcare,135000.0
,25-34 years old,,Remote,,8,3,"Developer, front-end",2 to 9 employees,India,C;C++;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Bing AI;ChatGPT,GitHub Copilot,3.0,Healthcare,7997.0
,25-34 years old,,Remote,,16,14,"Developer, mobile",2 to 9 employees,Germany,HTML/CSS;JavaScript;TypeScript,ChatGPT,GitHub Copilot;Tabnine,14.0,Financial Services,66396.0
,25-34 years old,,In-person,,20,13,"Developer, full-stack","1,000 to 4,999 employees",Croatia,Java;Kotlin;SQL;TypeScript,ChatGPT,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",58604.0
,35-44 years old,,Remote,,13,11,"Developer, mobile","5,000 to 9,999 employees",Romania,Kotlin;Swift,Bing AI;ChatGPT,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",48190.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,19,14,Project manager,"10,000 or more employees",Argentina,C#;JavaScript;SQL,ChatGPT,GitHub Copilot,14.0,Retail and Consumer Services,72112.0
,25-34 years old,,Remote,,8,3,"Developer, back-end",100 to 499 employees,India,Elixir;HTML/CSS;PHP;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,3.0,Higher Education,36351.0
,18-24 years old,,Remote,,5,1,"Developer, mobile",20 to 99 employees,India,C++;Dart;Java;Kotlin;Python;SQL,ChatGPT,GitHub Copilot,1.0,"Information Services, IT, Software Development, or other Technology",14540.0
,25-34 years old,,In-person,,7,3,"Developer, full-stack",100 to 499 employees,Canada,Assembly;Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SQL;VBA,Bing AI;ChatGPT,GitHub Copilot,5.0,Healthcare,38735.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,6,4,"Developer, full-stack",20 to 99 employees,Uruguay,JavaScript;Ruby;Swift;TypeScript,ChatGPT,GitHub Copilot,4.0,"Information Services, IT, Software Development, or other Technology",50400.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,9,2,"Developer, back-end",100 to 499 employees,Lithuania,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,ChatGPT,GitHub Copilot,2.0,"Information Services, IT, Software Development, or other Technology",35982.0
,25-34 years old,,Remote,,15,10,"Developer, back-end","10,000 or more employees",Brazil,Bash/Shell (all shells);Clojure;Dart;GDScript;Go;HTML/CSS;Java;JavaScript;Scala;TypeScript,ChatGPT;WolframAlpha,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",21911.0
,35-44 years old,,Remote,,20,13,"Developer, full-stack",20 to 99 employees,Germany,Bash/Shell (all shells);C#;Go;HTML/CSS;SQL;TypeScript,ChatGPT,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",101735.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,16,14,"Engineer, site reliability","10,000 or more employees",United States of America,Assembly;Bash/Shell (all shells);C;C#;C++;GDScript;Go;Java;JavaScript;Kotlin;Objective-C;PowerShell;Python;Rust;Scala;Swift;TypeScript;Zig,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Rubber Duck.AI,14.0,"Manufacturing, Transportation, or Supply Chain",159000.0
,25-34 years old,,Remote,,15,11,"Developer, full-stack",20 to 99 employees,Uruguay,HTML/CSS;JavaScript;TypeScript,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot,15.0,Advertising Services,115200.0
,25-34 years old,,Remote,,19,14,"Developer, full-stack",2 to 9 employees,Brazil,C#;HTML/CSS;JavaScript;Kotlin;PHP;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,14.0,"Information Services, IT, Software Development, or other Technology",30431.0
,45-54 years old,,Remote,,15,15,Research & Development role,"10,000 or more employees",Canada,Go;TypeScript,ChatGPT,GitHub Copilot,18.0,Healthcare,374813.0
,25-34 years old,,In-person,,5,3,"Developer, desktop or enterprise applications",2 to 9 employees,Taiwan,Python;SQL;Visual Basic (.Net),Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot,3.0,"Manufacturing, Transportation, or Supply Chain",13037.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,12,"Developer, back-end","10,000 or more employees",United States of America,JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",217000.0
,18-24 years old,,Remote,,7,4,"Developer, full-stack",2 to 9 employees,"Venezuela, Bolivarian Republic of...",C#;Dart;Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,4.0,"Information Services, IT, Software Development, or other Technology",9600.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,7,"Developer, front-end","1,000 to 4,999 employees",Chile,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",56990.0
,35-44 years old,,Remote,,23,13,"Developer, full-stack","1,000 to 4,999 employees",United States of America,Dart;HTML/CSS;Java;SQL;TypeScript,ChatGPT,GitHub Copilot,13.0,Higher Education,90000.0
,25-34 years old,,Remote,,10,8,"Developer, full-stack",2 to 9 employees,France,Bash/Shell (all shells);Elixir;Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,ChatGPT,GitHub Copilot;Tabnine,8.0,"Information Services, IT, Software Development, or other Technology",128507.0
,45-54 years old,,Remote,,25,25,"Developer, front-end",20 to 99 employees,United States of America,HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,30.0,Financial Services,200000.0
,25-34 years old,,Remote,,14,6,"Developer, full-stack","10,000 or more employees",Kazakhstan,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,14.0,"Information Services, IT, Software Development, or other Technology",52800.0
,35-44 years old,,Remote,,15,10,"Developer, back-end",2 to 9 employees,Brazil,Python,Bing AI;ChatGPT,GitHub Copilot,5.0,"Manufacturing, Transportation, or Supply Chain",17244.0
,25-34 years old,,Remote,,11,7,"Developer, full-stack",2 to 9 employees,Canada,Go;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,11.0,Financial Services,81787.0
,18-24 years old,,Remote,,9,7,"Developer, mobile",2 to 9 employees,Canada,C;JavaScript;Swift;TypeScript,ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",90000.0
,35-44 years old,,Remote,,5,2,"Developer, full-stack",20 to 99 employees,United States of America,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,ChatGPT,GitHub Copilot,2.0,Healthcare,110000.0
,35-44 years old,,Remote,,8,8,"Developer, front-end",100 to 499 employees,United States of America,HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,8.0,Insurance,170000.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,30,23,Developer Experience,"1,000 to 4,999 employees",United States of America,JavaScript;TypeScript,ChatGPT,GitHub Copilot,24.0,"Information Services, IT, Software Development, or other Technology",400000.0
,35-44 years old,,Remote,,23,23,Research & Development role,20 to 99 employees,Brazil,Bash/Shell (all shells);C;C++;Delphi;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;Scala;SQL;TypeScript,Bing AI;ChatGPT;WolframAlpha,GitHub Copilot,23.0,"Information Services, IT, Software Development, or other Technology",33876.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,5,1,"Developer, full-stack","5,000 to 9,999 employees",India,HTML/CSS;Java;JavaScript;PHP;SQL,ChatGPT,GitHub Copilot,1.0,Healthcare,5453.0
,25-34 years old,,Remote,,6,2,Security professional,"1,000 to 4,999 employees",Canada,Go;Ruby,Bing AI;ChatGPT,GitHub Copilot,5.0,Retail and Consumer Services,162830.0
,35-44 years old,,Remote,,15,15,"Developer, full-stack",20 to 99 employees,United States of America,JavaScript,ChatGPT;Google Bard AI,GitHub Copilot,27.0,Financial Services,145000.0
